fips_code,school_district_id
0200065,4
0200650,28
0200760,54
0200870,54
0201090,56
0201200,32
0201305,52
0201390,3
0201420,45
0201560,28
0201860,52
0201970,37
0202080,36
0203110,24
0203000,5
0203220,2
0203440,9
0203550,29
0203880,21
0203990,51
0204210,4
0204430,31
0204500,36
0204670,4
0205000,16
0205585,24
0205750,51
0206245,24
0206520,31
0206630,52
0206850,14
0207070,33
0207620,51
0208740,7
0209600,37
0209657,33
0209710,33
0210150,2
0211690,51
0211800,51
0212350,33
0212680,31
0212920,16
0212970,10
0213230,55
0213340,33
0213450,3
0213550,30
0213670,30
0213780,30
0213860,28
0213890,11
0214000,11
0214110,11
0214330,29
0214880,51
0215320,24
0215430,45
0216360,44
0216420,24
0216530,56
0216630,52
0216750,16
0217190,24
0217300,11
0217410,12
0217670,18
0217740,13
0217740,44
0217850,29
0217960,24
0218510,37
0218620,14
0218675,14
0218805,2
0218925,24
0218950,15
0219060,7
0219720,3
0219750,3
0220020,3
0220380,3
0220600,3
0220716,4
0220970,44
0221040,31
0221150,30
0221370,16
0221810,45
0222140,9
0222250,7
0222910,32
0223460,16
0223720,33
0223790,52
0223900,18
0224230,16
0224660,56
0225000,33
0224980,16
0225220,2
0225550,33
0225880,21
0226100,14
0226760,51
0226835,52
0226870,16
0226910,24
0227090,24
0227145,24
0227420,11
0227530,17
0227640,7
0227700,9
0228200,33
0228590,33
0228740,11
0229130,16
0229180,7
0229290,31
0230060,21
0230500,11
0230940,9
0231050,18
0231270,24
0231710,24
0231765,16
0232150,2
0232310,14
0232550,39
0232810,44
0233030,21
0233140,24
0233360,19
0233470,32
0233580,24
0233800,33
0233910,52
0234350,52
0234460,20
0234460,44
0234570,44
0234790,30
0235120,30
0235890,30
0236400,22
0236540,24
0236770,23
0236770,44
0236990,36
0237250,24
0237430,52
0237540,28
0237650,44
0237975,31
0238090,24
0238420,24
0238910,11
0238970,25
0239300,37
0239410,56
0239630,8
0239740,31
0239960,37
0240400,27
0240400,44
0240510,9
0240670,33
0240645,33
0240840,37
0240950,28
0241210,28
0241280,30
0241500,45
0241610,31
0241720,32
0241830,37
0241940,7
0242050,52
0242160,39
0242380,31
0242490,31
0242805,33
0242820,21
0243040,28
0243260,33
0243810,30
0244030,21
0244580,51
0245020,25
0245295,24
0245460,29
0245700,18
0246780,52
0246890,45
0247000,32
0245790,11
0246010,21
0247735,33
0247990,31
0248200,11
0248540,3
0248590,31
0248870,6
0248870,44
0249200,28
0249530,52
0250080,16
0250190,24
0250800,18
0251180,32
0251455,18
0251960,11
0252060,8
0252210,24
0252390,31
0252720,31
0252845,44
0252915,11
0252940,56
0253050,34
0253710,45
0253270,30
0253820,31
0253930,31
0254050,24
0254085,24
0254150,21
0254260,4
0254480,24
0254700,37
0254920,35
0255030,30
0255140,37
0255745,33
0255910,16
0256220,3
0256320,36
0256350,52
0256600,32
0256680,31
0257340,28
0258330,31
0258550,28
0258660,33
0259320,11
0259540,30
0259650,38
0260200,30
0260310,39
0260460,33
0260640,30
0260750,32
0260860,32
0261080,31
0261120,16
0261190,44
0261630,36
0261700,36
0261788,33
0261825,24
0262125,30
0262510,44
0262620,30
0263170,7
0263280,24
0263390,30
0263610,28
0263870,44
0262285,45
0264240,24
0264380,36
0264600,31
0264820,52
0264930,29
0264980,37
0265345,24
0265590,52
0265700,32
0265800,40
0266140,46
0266360,7
0266470,40
0266510,24
0266550,16
0267020,56
0267460,7
0267570,25
0267680,32
0268230,37
0268340,24
0268370,24
0268560,24
0268670,21
0268890,7
0269770,7
0270100,37
0270320,11
0270540,42
0270760,43
0270870,33
0270930,11
0271090,29
0271640,24
0272135,33
0272190,8
0272230,16
0272960,7
0272985,16
0273070,24
0273290,51
0273400,29
0273950,24
0274340,33
0274350,33
0274525,33
0274610,21
0274830,33
0275050,3
0275077,33
0275160,52
0275160,53
0275380,10
0275480,11
0275930,7
0276260,9
0276590,3
0277140,44
0277690,45
0277800,3
0278240,31
0278297,11
0278350,11
0278680,33
0278790,54
0279120,31
0279230,31
0279780,45
0279830,16
0279890,24
0280100,30
0280660,7
0280770,47
0281320,29
0281920,36
0282200,48
0282420,51
0282750,36
0282860,7
0283080,33
0284000,44
0284070,7
0284120,14
0284200,9
0284510,10
0285280,33
0285290,11
0285610,52
0285680,28
0286380,49
0286490,50
0270540,98
