community_fips_code,total_population,year
0203000,291247,2020
0224230,32515,2020
0236400,32255,2020
0240645,19297,2020
0205000,19031,2020
0216750,11332,2020
0255745,9450,2020
0247735,9197,2020
0283080,9054,2020
0275077,8817,2020
0237250,8487,2020
0270540,8458,2020
0238970,8192,2020
0238420,7424,2020
0272985,6437,2020
0206520,6325,2020
0212920,6015,2020
0273070,5918,2020
0258660,5888,2020
0228200,5748,2020
0240950,5581,2020
0233140,5522,2020
0272135,5229,2020
0225550,5048,2020
0281920,4927,2020
0224980,4704,2020
0254050,4456,2020
0271640,4342,2020
0280770,4254,2020
0249200,4216,2020
0282200,3985,2020
0207070,3833,2020
0254920,3699,2020
0209710,3589,2020
0229130,3299,2020
0241830,3102,2020
0260310,3043,2020
0225000,2747,2020
0268560,2717,2020
0221370,2610,2020
0217410,2609,2020
0223460,2416,2020
0218675,2359,2020
0218950,2249,2020
0227090,2248,2020
0255910,2243,2020
0285280,2196,2020
0265345,2136,2020
0205585,2129,2020
0286380,2127,2020
0203110,2105,2020
0233800,1975,2020
0261788,1852,2020
0241210,1673,2020
0231050,1657,2020
0201090,1589,2020
0274350,1564,2020
0243260,1506,2020
0216420,1471,2020
0248870,1454,2020
0233470,1375,2020
0218925,1330,2020
0264380,1310,2020
0277800,1243,2020
0270760,1164,2020
0227145,1103,2020
0266510,1078,2020
0274830,1055,2020
0274525,1038,2020
0217740,1036,2020
0209657,1021,2020
0266550,977,2020
0232150,966,2020
0213230,951,2020
0233360,931,2020
0218620,918,2020
0254480,845,2020
0267460,835,2020
0261630,830,2020
0222910,825,2020
0277690,817,2020
0242380,812,2020
0268230,809,2020
0240670,792,2020
0264600,776,2020
0280660,765,2020
0239410,757,2020
0201200,756,2020
0285680,743,2020
0240400,720,2020
0231710,713,2020
0239740,704,2020
0255140,694,2020
0200760,677,2020
0278240,658,2020
0286490,657,2020
0230940,655,2020
0241720,655,2020
0279830,650,2020
0226910,644,2020
0227640,640,2020
0272960,634,2020
0282750,628,2020
0237975,623,2020
0251180,621,2020
0260750,615,2020
0261120,606,2020
0267680,600,2020
0266140,599,2020
0256680,594,2020
0267020,578,2020
0236540,576,2020
0269770,576,2020
0254700,570,2020
0209600,550,2020
0236770,543,2020
0250080,534,2020
0238090,525,2020
0253710,512,2020
0256320,512,2020
0252720,509,2020
0203550,507,2020
0212680,506,2020
0272230,503,2020
0278680,499,2020
0247000,492,2020
0246890,488,2020
0241610,486,2020
0277140,476,2020
0227530,472,2020
0252060,470,2020
0279120,469,2020
0200870,462,2020
0266360,456,2020
0239300,447,2020
0239960,444,2020
0206850,444,2020
0278790,444,2020
0228740,439,2020
0208740,428,2020
0226760,428,2020
0202080,425,2020
0265700,421,2020
0266470,413,2020
0279230,411,2020
0226870,406,2020
0221040,404,2020
0224660,397,2020
0204430,386,2020
0267570,384,2020
0234460,380,2020
0242490,380,2020
0228590,375,2020
0222250,366,2020
0253050,358,2020
0252390,358,2020
0203440,357,2020
0217190,344,2020
0217300,338,2020
0261700,330,2020
0254085,328,2020
0241940,312,2020
0226100,309,2020
0239630,307,2020
0253930,306,2020
0234350,304,2020
0246010,301,2020
0236990,283,2020
0245460,278,2020
0204500,276,2020
0201970,274,2020
0284510,272,2020
0270100,272,2020
0229290,258,2020
0213340,254,2020
0231765,253,2020
0275930,249,2020
0252210,247,2020
0275160,246,2020
0275480,244,2020
0256350,239,2020
0268340,235,2020
0256220,234,2020
0238910,234,2020
0220716,232,2020
0250190,228,2020
0256600,217,2020
0257340,216,2020
0281320,212,2020
0268890,212,2020
0201420,211,2020
0230060,210,2020
0253820,209,2020
0215320,207,2020
0247990,206,2020
0282420,205,2020
0210150,200,2020
0268370,199,2020
0240840,191,2020
0285290,190,2020
0262620,186,2020
0284070,185,2020
0241500,183,2020
0218510,182,2020
0201860,177,2020
0203220,177,2020
0233030,176,2020
0229180,175,2020
0200065,171,2020
0263610,170,2020
0246780,169,2020
0227420,169,2020
0282860,168,2020
0253270,168,2020
0218805,163,2020
0263280,162,2020
0233580,161,2020
0251455,159,2020
0237430,158,2020
0279890,152,2020
0241280,152,2020
0203990,151,2020
0249530,150,2020
0275050,144,2020
0252845,142,2020
0265590,139,2020
0255030,133,2020
0248540,127,2020
0216360,127,2020
0276590,126,2020
0250800,120,2020
0260860,120,2020
0217960,119,2020
0270930,116,2020
0276260,116,2020
0221810,111,2020
0270320,111,2020
0230500,110,2020
0258550,109,2020
0235120,108,2020
0245790,107,2020
0214330,104,2020
0279780,103,2020
0214110,101,2020
0263390,100,2020
0268670,100,2020
0248590,99,2020
0242050,98,2020
0259650,98,2020
0213550,97,2020
0264240,96,2020
0271090,95,2020
0214880,91,2020
0217850,90,2020
0275380,90,2020
0254150,89,2020
0260200,88,2020
0240510,87,2020
0284000,86,2020
0233910,85,2020
0220380,83,2020
0219060,83,2020
0245295,79,2020
0262510,78,2020
0213670,72,2020
0284120,71,2020
0258330,70,2020
0203880,70,2020
0260640,70,2020
0243810,69,2020
0234790,68,2020
0265800,67,2020
0272190,67,2020
0215430,67,2020
0211690,66,2020
0232810,65,2020
0200650,63,2020
0270870,62,2020
0213780,61,2020
0220020,61,2020
0213860,61,2020
0231270,60,2020
0214000,60,2020
0212970,59,2020
0264820,57,2020
0273400,57,2020
0274610,56,2020
0211800,56,2020
0261080,55,2020
0278350,55,2020
0220600,53,2020
0204210,53,2020
0216530,50,2020
0234570,48,2020
0205750,48,2020
0252915,45,2020
0259540,43,2020
0252940,41,2020
0223900,40,2020
0221150,39,2020
0254260,39,2020
0273290,37,2020
0248200,36,2020
0201390,36,2020
0263870,36,2020
0207620,35,2020
0243040,34,2020
0216630,34,2020
0206245,34,2020
0242820,30,2020
0237650,30,2020
0245700,29,2020
0237540,27,2020
0260460,27,2020
0259320,26,2020
0220970,25,2020
0217670,25,2020
0223720,24,2020
0232310,24,2020
0222140,24,2020
0219750,23,2020
0227700,23,2020
0206630,23,2020
0264930,22,2020
0242160,21,2020
0219720,21,2020
0212350,19,2020
0226835,18,2020
0225220,17,2020
0244580,16,2020
0201305,15,2020
0273950,15,2020
0242805,15,2020
0244030,13,2020
0261190,12,2020
0223790,12,2020
0278297,12,2020
0213450,12,2020
0274340,11,2020
0261825,9,2020
0262125,6,2020
0285610,5,2020
0201560,5,2020
0264980,5,2020
0262285,4,2020
0280100,4,2020
0251960,2,2020
0284200,2,2020
0232550,1,2020
0235890,1,2020
0245020,0,2020
0204670,0,2020
0225880,0,2020
0263170,0,2020
0213890,0,2020
