community_fips_code,grid_id
0200065,186
0200650,1
0200760,2
0200870,3
0201090,4
0201200,45
0201305,5
0201390,
0201420,169
0201560,
0201860,5
0201970,35
0202080,160
0203110,215
0203000,215
0203220,215
0203440,125
0203550,93
0203880,36
0203990,94
0204210,95
0204430,96
0204500,161
0204670,
0205000,215
0205585,215
0205750,97
0206245,215
0206520,34
0206630,7
0206850,215
0207070,215
0207620,98
0208740,39
0209600,99
0209657,215
0209710,215
0210150,215
0211690,116
0211800,100
0212350,215
0212680,154
0212920,215
0212970,101
0213230,40
0213340,215
0213450,
0213550,104
0213670,102
0213780,103
0213860,223
0213890,
0214000,26
0214110,105
0214330,144
0214880,106
0215320,215
0215430,107
0216360,23
0216420,215
0216530,114
0216630,
0216750,215
0217190,215
0217300,216
0217410,14
0217670,32
0217740,23
0217850,145
0217960,215
0218510,130
0218620,215
0218675,215
0218805,215
0218925,215
0218950,169
0219060,110
0219720,15
0219750,15
0220020,
0220380,9
0220600,9
0220716,
0220970,
0221040,41
0221150,111
0221370,215
0221810,65
0222140,112
0222250,43
0222910,45
0223460,215
0223720,
0223790,7
0223900,
0224230,215
0224660,113
0225000,215
0224980,215
0225220,215
0225550,215
0225880,
0226100,215
0226760,119
0226835,215
0226870,215
0226910,215
0227090,215
0227145,215
0227420,
0227530,115
0227640,46
0227700,
0228200,215
0228590,216
0228740,216
0229130,215
0229180,117
0229290,47
0230060,48
0230500,216
0230940,118
0231050,32
0231270,215
0231710,215
0231765,215
0232150,215
0232310,11
0232550,
0232810,23
0233030,49
0233140,215
0233360,128
0233470,50
0233580,215
0233800,215
0233910,120
0234350,51
0234460,23
0234570,
0234790,121
0235120,123
0235890,
0236400,222
0236540,215
0236770,129
0236990,162
0237250,215
0237430,54
0237540,92
0237650,23
0237975,55
0238090,215
0238420,215
0238910,216
0238970,217
0239300,57
0239410,131
0239630,150
0239740,132
0239960,58
0240400,23
0240510,32
0240670,215
0240645,215
0240840,149
0240950,223
0241210,223
0241280,134
0241500,157
0241610,176
0241720,59
0241830,135
0241940,60
0242050,136
0242160,217
0242380,137
0242490,138
0242805,
0242820,
0243040,139
0243260,215
0243810,140
0244030,141
0244580,
0245020,
0245295,215
0245460,52
0245700,32
0246780,188
0246890,142
0247000,61
0245790,
0246010,143
0247735,215
0247990,62
0248200,216
0248540,26
0248590,196
0248870,225
0249200,223
0249530,63
0250080,215
0250190,215
0250800,32
0251180,75
0251455,32
0251960,
0252060,150
0252210,
0252390,34
0252720,153
0252845,23
0252915,216
0252940,156
0253050,215
0253710,65
0253270,123
0253820,196
0253930,88
0254050,215
0254085,215
0254150,158
0254260,193
0254480,215
0254700,66
0254920,159
0255030,123
0255140,67
0255745,215
0255910,215
0256220,12
0256320,163
0256350,68
0256600,167
0256680,55
0257340,69
0258330,34
0258550,170
0258660,215
0259320,226
0259540,171
0259650,172
0260200,155
0260310,217
0260460,
0260640,173
0260750,70
0260860,75
0261080,174
0261120,215
0261190,
0261630,164
0261700,165
0261788,215
0261825,
0262125,
0262510,
0262620,183
0263170,
0263280,
0263390,175
0263610,223
0263870,
0262285,
0264240,215
0264380,224
0264600,71
0264820,177
0264930,146
0264980,
0265345,215
0265590,178
0265700,72
0266510,215
0266550,215
0267020,187
0267460,76
0267570,217
0267680,77
0268230,78
0268340,215
0268370,215
0268560,215
0268670,79
0268890,80
0269770,81
0270100,149
0270320,216
0270540,219
0270760,32
0270870,
0270930,26
0271090,147
0271640,215
0272135,215
0272190,150
0272230,215
0265800,179
0266140,75
0266360,84
0266470,180
0272960,84
0272985,215
0273070,215
0273290,181
0273400,148
0273950,
0274340,
0274350,215
0274525,215
0274610,182
0274830,215
0275050,15
0275077,215
0275160,184
0275380,185
0275480,216
0275930,85
0276260,189
0276590,15
0277140,23
0277690,86
0277800,15
0278240,88
0278297,216
0278350,
0278680,215
0278790,190
0279120,191
0279230,88
0279780,192
0279830,215
0279890,215
0280100,
0280660,194
0280770,195
0281320,52
0281920,221
0282200,216
0282420,197
0282750,166
0282860,90
0283080,215
0284000,213
0284070,198
0284120,215
0284200,
0284510,215
0285280,215
0285290,216
0285610,
0285680,223
0286380,217
0286490,91
